,geometry,centroid,ppet
0,"POLYGON ((-123.8550258939473 40.97763858905594, -123.7750258939473 40.97763858905594, -123.7750258939473 41.05763858905594, -123.8550258939473 41.05763858905594, -123.8550258939473 40.97763858905594))",POINT (-123.8150258939473 41.01763858905594),14.924903677810153
1,"POLYGON ((-123.8550258939473 41.05763858905594, -123.7750258939473 41.05763858905594, -123.7750258939473 41.13763858905594, -123.8550258939473 41.13763858905594, -123.8550258939473 41.05763858905594))",POINT (-123.8150258939473 41.09763858905594),12.198132788418203
2,"POLYGON ((-123.8550258939473 41.13763858905594, -123.7750258939473 41.13763858905594, -123.7750258939473 41.21763858905594, -123.8550258939473 41.21763858905594, -123.8550258939473 41.13763858905594))",POINT (-123.8150258939473 41.17763858905594),10.528408030213319
3,"POLYGON ((-123.8550258939473 41.21763858905594, -123.7750258939473 41.21763858905594, -123.7750258939473 41.29763858905594, -123.8550258939473 41.29763858905594, -123.8550258939473 41.21763858905594))",POINT (-123.8150258939473 41.25763858905594),9.702029655823392
4,"POLYGON ((-123.8550258939473 41.29763858905594, -123.7750258939473 41.29763858905594, -123.7750258939473 41.37763858905593, -123.8550258939473 41.37763858905593, -123.8550258939473 41.29763858905594))",POINT (-123.8150258939473 41.33763858905594),12.954456151212238
5,"POLYGON ((-123.8550258939473 41.37763858905593, -123.7750258939473 41.37763858905593, -123.7750258939473 41.45763858905593, -123.8550258939473 41.45763858905593, -123.8550258939473 41.37763858905593))",POINT (-123.8150258939473 41.41763858905593),14.080504394407583
6,"POLYGON ((-123.8550258939473 41.45763858905593, -123.7750258939473 41.45763858905593, -123.7750258939473 41.53763858905593, -123.8550258939473 41.53763858905593, -123.8550258939473 41.45763858905593))",POINT (-123.8150258939473 41.49763858905593),14.084228787946136
7,"POLYGON ((-123.8550258939473 41.53763858905593, -123.7750258939473 41.53763858905593, -123.7750258939473 41.61763858905593, -123.8550258939473 41.61763858905593, -123.8550258939473 41.53763858905593))",POINT (-123.8150258939473 41.57763858905594),13.001309218459772
8,"POLYGON ((-123.8550258939473 41.61763858905593, -123.7750258939473 41.61763858905593, -123.7750258939473 41.69763858905593, -123.8550258939473 41.69763858905593, -123.8550258939473 41.61763858905593))",POINT (-123.8150258939473 41.65763858905593),8.699569059790141
9,"POLYGON ((-123.8550258939473 41.69763858905593, -123.7750258939473 41.69763858905593, -123.7750258939473 41.77763858905593, -123.8550258939473 41.77763858905593, -123.8550258939473 41.69763858905593))",POINT (-123.8150258939473 41.73763858905593),8.045384306312114
10,"POLYGON ((-123.8550258939473 41.77763858905593, -123.7750258939473 41.77763858905593, -123.7750258939473 41.85763858905592, -123.8550258939473 41.85763858905592, -123.8550258939473 41.77763858905593))",POINT (-123.8150258939473 41.81763858905592),9.268643163498394
11,"POLYGON ((-123.8550258939473 41.85763858905592, -123.7750258939473 41.85763858905592, -123.7750258939473 41.93763858905592, -123.8550258939473 41.93763858905592, -123.8550258939473 41.85763858905592))",POINT (-123.8150258939473 41.89763858905592),6.428760329829531
12,"POLYGON ((-123.8550258939473 41.93763858905592, -123.7750258939473 41.93763858905592, -123.7750258939473 42.01763858905592, -123.8550258939473 42.01763858905592, -123.8550258939473 41.93763858905592))",POINT (-123.8150258939473 41.97763858905592),4.170938002383756
13,"POLYGON ((-123.7750258939473 40.89763858905594, -123.6950258939473 40.89763858905594, -123.6950258939473 40.97763858905594, -123.7750258939473 40.97763858905594, -123.7750258939473 40.89763858905594))",POINT (-123.7350258939473 40.93763858905594),13.4715644859285
